"","Var1","Freq"
"2","aadK",1
"5","abf2_2",1
"6","abf2_3",1
"11","abrB_2",1
"14","accA_3",1
"21","acdA_1",1
"22","acdA_2",1
"26","acoA_3",1
"29","acoB_2",1
"31","acoR_1",1
"38","acsA_7",1
"40","actP_2",1
"42","acuA_1",1
"43","acuA_2",1
"45","acuC_2",1
"49","adaA",1
"51","addA_1",1
"52","addA_2",1
"53","addA_3",1
"54","addA_4",1
"56","addA_6",1
"57","addA_7",1
"58","addA_8",1
"60","addB_1",1
"61","addB_2",1
"62","addB_3",1
"63","addB_4",1
"64","addB_6",1
"67","adeC_2",1
"72","adhA_1",1
"76","adk_2",1
"81","alaS_2",1
"82","alaS_3",1
"83","alaS_4",1
"85","ald_1",1
"86","ald_2",1
"89","aldH1_1",1
"90","aldH1_2",1
"95","alr2_1",1
"100","alsS_1",1
"106","amiE_1",1
"107","amiE_2",1
"111","ansA_1",1
"112","ansA_3",1
"115","apaH_1",1
"119","appA_1",1
"120","appA_2",1
"122","apr_1",1
"127","aprX_1",1
"128","aprX_3",1
"129","aprX_4",1
"134","araA_2",1
"135","araA_3",1
"142","arcD_2",1
"143","ARG7_2",1
"144","ARG7_3",1
"146","argB_1",1
"148","argC_3",1
"149","argC_4",1
"151","argD_1",1
"152","argD_3",1
"153","argD_4",1
"155","argF_2",1
"156","argF_3",1
"158","argG_2",1
"160","argH_1",1
"161","argH_3",1
"163","argJ_1",1
"169","argS_1",1
"170","argS_3",1
"173","arnB_1",1
"174","arnB_2",1
"175","arnB_3",1
"177","arnE",1
"180","aroA_2",1
"182","aroA1_2",1
"184","aroB_1",1
"186","aroC_2",1
"197","artM_1",1
"198","artM_3",1
"199","artM_4",1
"201","artP_1",1
"204","artQ_3",1
"206","asd_1",1
"207","asd_3",1
"212","asnB_2",1
"213","asnB_3",1
"218","asnO_3",1
"219","asnO_4",1
"220","asnO_5",1
"222","asnS_1",1
"223","asnS_3",1
"227","aspS_1",1
"228","aspS_2",1
"229","aspS_3",1
"232","atpA_1",1
"233","atpA_2",1
"234","atpA_3",1
"235","atpA_4",1
"237","atpB_1",1
"240","atpD_2",1
"247","atxA_2",1
"256","bacB_2",1
"261","bacD_1",1
"262","bacD_3",1
"263","bacD_4",1
"272","bceA_3",1
"274","bceB_1",1
"275","bceB_2",1
"279","bcr_1",1
"286","bdbC_1",1
"288","bdbD_1",1
"291","benM_1",1
"292","benM_2",1
"295","betB_1",1
"296","betB_2",1
"297","betB_3",1
"300","betL",1
"302","bfmBAA_1",1
"303","bfmBAA_3",1
"306","bfmBAB_3",1
"307","bfmBAB_4",1
"309","bg1_2",1
"311","bglA_1",1
"314","bglC_2",1
"321","bglF_7",1
"326","bglY_2",1
"328","bicA_1",1
"332","bioB_3",1
"333","bioD1",1
"334","bioF",1
"335","bioF_1",1
"336","bioF_2",1
"337","bioI",1
"338","bioK",1
"339","bioW",1
"344","birA_3",1
"345","birA_4",1
"346","bla",1
"347","blaSE",1
"349","bltD_1",1
"353","bmrA_2",1
"356","bmrU_1",1
"357","bmrU_3",1
"360","bofC_2",1
"361","bphC",1
"364","bpr_1",1
"365","bpr_2",1
"366","bpr_3",1
"370","brnQ_3",1
"371","brnQ_4",1
"372","brnQ_5",1
"376","bshA_2",1
"377","bshA_3",1
"381","bshB2_1",1
"382","bshB2_2",1
"383","bshB2_3",1
"386","bshC_2",1
"387","bshC_3",1
"392","btr_2",1
"396","btuC_2",1
"402","btuD_6",1
"406","buk2_2",1
"409","cadA_1",1
"410","cadA_2",1
"411","cadA_3",1
"416","capB_1",1
"420","carA_3",1
"421","carA_4",1
"422","carA_5",1
"423","carA_6",1
"425","carB_10",1
"426","carB_11",1
"427","carB_12",1
"429","carB_3",1
"430","carB_4",1
"431","carB_5",1
"432","carB_6",1
"433","carB_7",1
"434","carB_8",1
"435","carB_9",1
"439","cas1",1
"440","cas2",1
"444","cca_1",1
"451","ccpN_2",1
"453","ccs1_2",1
"454","ccs1_3",1
"461","cdaR_5",1
"463","cdaS_2",1
"467","cdiI",1
"469","cdr_1",1
"470","cdsA",1
"474","cfiB",1
"476","cggR_1",1
"481","cheA_1",1
"482","cheA_3",1
"487","cheB1",1
"489","cheC_1",1
"492","cheR_2",1
"493","cheR_3",1
"496","cheV_3",1
"500","cheY_1",1
"507","cinA_2",1
"508","cinA_3",1
"510","citB_1",1
"512","citB_3",1
"514","citM_1",1
"515","citM_2",1
"516","citM_5",1
"519","citN_3",1
"521","citS_1",1
"522","citS_2",1
"523","citS_3",1
"525","citT_1",1
"526","citT_2",1
"528","citZ_2",1
"530","clpC_1",1
"531","clpC_2",1
"532","clpC_3",1
"533","clpC_5",1
"534","clpC_6",1
"536","clpE_2",1
"537","clpE_3",1
"539","clpP_1",1
"543","clpX_2",1
"545","clpY_2",1
"546","clpY_3",1
"547","clpY_4",1
"549","clsB_1",1
"553","cmk_2",1
"559","cna",1
"563","cntE",1
"566","coaA_3",1
"568","coaD_1",1
"570","coaE_2",1
"572","coaX_1",1
"573","coaX_3",1
"575","cobB_2",1
"580","comA_2",1
"583","comEA_2",1
"586","comEC_2",1
"587","comEC_4",1
"590","comFA_2",1
"596","comN_1",1
"602","copA_1",1
"603","copA_2",1
"604","copA_4",1
"612","cotA_1",1
"613","cotA_2",1
"616","cotH_2",1
"633","crtD",1
"634","crtI",1
"636","crtN_1",1
"637","crtN_2",1
"640","crtNc_1",1
"641","crtNc_2",1
"644","csaA_2",1
"655","cshA_2",1
"657","cshB_1",1
"658","cshB_3",1
"663","cspD_2",1
"668","cstA_2",1
"670","ctaA_1",1
"676","ctaD_2",1
"677","ctaD_3",1
"681","ctpA_1",1
"684","ctpB_1",1
"685","ctpB_2",1
"690","cwlA_2",1
"695","cwlD_2",1
"699","cwlH_4",1
"703","cwlO_2",1
"705","cwlS_2",1
"707","cycA_1",1
"709","cycB_1",1
"710","cycB_2",1
"712","cydA_2",1
"713","cydA_3",1
"721","cypB_1",1
"722","cypB_2",1
"723","cypB_3",1
"726","cysB",1
"728","cysC_1",1
"732","cysI_1",1
"734","cysJ_1",1
"735","cysJ_2",1
"736","cysJ_4",1
"739","cysK_4",1
"740","cysK_5",1
"745","cysP_1",1
"746","cysP_2",1
"748","cysS_1",1
"749","cysS_2",1
"750","cysS_3",1
"751","cysS_5",1
"757","czrA_2",1
"759","dacA_2",1
"761","dacB_1",1
"763","dacB_3",1
"765","dacC_2",1
"769","dadD",1
"771","dagK_2",1
"776","dapB_2",1
"778","dapF_3",1
"781","dapL_1",1
"782","dapL_2",1
"785","dapX_4",1
"789","dat_3",1
"790","dat_4",1
"791","dat_6",1
"799","dcd",1
"801","dck_2",1
"803","dctA_2",1
"804","dctA_4",1
"812","ddc_2",1
"814","ddl_1",1
"815","ddl_3",1
"821","degR_2",1
"827","degU_3",1
"830","degV_2",1
"831","denK",1
"833","deoB_1",1
"834","deoB_3",1
"835","deoB_4",1
"837","deoC_1",1
"839","deoD_1",1
"840","deoD_2",1
"843","deoR_3",1
"846","der_3",1
"852","dfrA_2",1
"853","dgaE",1
"861","dhbB_2",1
"864","dhbE_1",1
"865","dhbE_3",1
"867","dhbF_1",1
"868","dhbF_10",1
"869","dhbF_11",1
"871","dhbF_3",1
"872","dhbF_4",1
"873","dhbF_5",1
"874","dhbF_6",1
"875","dhbF_7",1
"876","dhbF_8",1
"877","dhbF_9",1
"881","dinB1",1
"886","dinG_4",1
"888","disA_1",1
"892","divIVA_2",1
"894","dksA_1",1
"898","dltA_4",1
"899","dltA_5",1
"908","dnaB_1",1
"909","dnaB_2",1
"913","dnaC_3",1
"916","dnaE1",1
"920","dnaG_1",1
"921","dnaG_2",1
"924","dnaI_1",1
"927","dnaJ_2",1
"929","dnaK_1",1
"930","dnaK_3",1
"931","dnaK_4",1
"933","dnaN_1",1
"934","dnaN_2",1
"942","dppA_3",1
"945","dppB_3",1
"946","dppB_4",1
"949","dppC_3",1
"953","dprA_2",1
"957","dsdA",1
"963","dus_2",1
"967","dxr_1",1
"968","dxr_3",1
"970","dxs_1",1
"971","dxs_2",1
"972","dxs_3",1
"974","eamB_2",1
"978","eccC_1",1
"979","eccC_3",1
"980","eccC_4",1
"981","eccC_5",1
"982","eccC_6",1
"983","eccC_8",1
"986","ecfA1_3",1
"988","ecfA2_1",1
"989","ecfA3",1
"996","eglA_1",1
"997","eglA_2",1
"998","eglA_3",1
"1017","epsD_1",1
"1018","epsD_2",1
"1020","epsE_1",1
"1022","epsF_1",1
"1023","epsF_2",1
"1025","epsG_2",1
"1027","epsH_1",1
"1028","epsH_2",1
"1031","epsK_2",1
"1034","epsM_2",1
"1037","era_2",1
"1041","est_1",1
"1045","ettA_1",1
"1046","ettA_2",1
"1049","exuR_2",1
"1050","exuR_4",1
"1052","ezrA_1",1
"1053","ezrA_2",1
"1066","fabG1",1
"1076","fadA_1",1
"1077","fadA_2",1
"1079","fadB_1",1
"1084","fadE_2",1
"1085","fadE_3",1
"1087","fadF_1",1
"1088","fadF_2",1
"1089","fadF_3",1
"1090","fadF_4",1
"1091","fadF_6",1
"1094","fadM",1
"1096","fadN_1",1
"1098","fadN_3",1
"1104","fdhA_2",1
"1106","fdhD_2",1
"1108","feoB",1
"1117","ffh_1",1
"1118","ffh_2",1
"1119","ffh_4",1
"1122","fhs_2",1
"1123","fhs_3",1
"1136","flhA_1",1
"1137","flhA_2",1
"1138","flhA_3",1
"1144","fliD_1",1
"1145","fliD_3",1
"1149","fliG_1",1
"1151","fliJ_1",1
"1154","fliN",1
"1161","fliW_1",1
"1167","fmt_2",1
"1169","fni_2",1
"1172","folD_2",1
"1173","folD_3",1
"1178","folP_2",1
"1184","fpuC_1",1
"1186","fra_2",1
"1188","frdA_3",1
"1190","frdB_1",1
"1194","fruA_5",1
"1196","fruA_8",1
"1200","ftsA_1",1
"1201","ftsA_2",1
"1202","ftsA_3",1
"1204","ftsE_1",1
"1206","ftsH_1",1
"1208","ftsH_3",1
"1209","ftsH_4",1
"1211","ftsK",1
"1216","ftsW_5",1
"1217","ftsW_6",1
"1219","ftsX_2",1
"1220","ftsX_3",1
"1222","ftsY_1",1
"1223","ftsY_3",1
"1225","ftsZ_1",1
"1226","fucO",1
"1228","fumC_1",1
"1229","fumC_3",1
"1232","fusA_2",1
"1233","fusA_3",1
"1234","fusA_4",1
"1236","gabD_2",1
"1237","gabD_3",1
"1238","gabD_4",1
"1249","galK_1",1
"1250","galK_2",1
"1251","galP",1
"1253","galT_1",1
"1254","galT_2",1
"1256","ganA_1",1
"1257","ganA_2",1
"1259","ganB_2",1
"1260","gap1",1
"1263","gapN",1
"1265","garD_1",1
"1266","garD_2",1
"1267","garD_3",1
"1272","gatA_2",1
"1273","gatA_3",1
"1281","gatY_1",1
"1283","gbsA_2",1
"1284","gbsA_3",1
"1285","gbsA_4",1
"1287","gbsB_2",1
"1288","gbsB_3",1
"1291","gcvPA_2",1
"1293","gcvPB_3",1
"1294","gcvPB_4",1
"1300","gdh_3",1
"1302","gdnC",1
"1305","gdnD",1
"1309","gdpP_1",1
"1313","gerAB_1",1
"1315","gerBA",1
"1320","gerBB_1",1
"1323","gerBC_1",1
"1324","gerBC_2",1
"1328","gerM_1",1
"1329","gerN",1
"1334","gerPC_2",1
"1341","gerT_1",1
"1342","gerT_2",1
"1343","GFM1",1
"1348","glaH",1
"1349","glcA",1
"1351","glcK_2",1
"1352","glcK_3",1
"1358","glmS_1",1
"1359","glmS_2",1
"1361","glmU_1",1
"1367","glnK_3",1
"1369","glnM_2",1
"1371","glnP_1",1
"1374","glnQ_4",1
"1381","glpC",1
"1383","glpD_2",1
"1384","glpD_3",1
"1390","glpK_1",1
"1391","glpK_3",1
"1397","glpX_2",1
"1398","glsA",1
"1399","glsA_1",1
"1400","glsA_2",1
"1403","glsA2_1",1
"1405","gltA_1",1
"1407","gltA_3",1
"1408","gltA_4",1
"1409","gltA_5",1
"1410","gltA_6",1
"1411","gltA_7",1
"1412","gltA_8",1
"1414","gltB_1",1
"1420","gltP_4",1
"1421","gltP_5",1
"1427","gltX_1",1
"1428","gltX_3",1
"1430","gluP_1",1
"1431","gluP_2",1
"1440","gmk_1",1
"1441","gmk_2",1
"1446","gmuC_1",1
"1450","gmuD_3",1
"1451","gmuD_5",1
"1455","gmuR_1",1
"1460","golD",1
"1464","gpmI_2",1
"1465","gpmI_4",1
"1467","gpr_1",1
"1471","gpx1_2",1
"1473","graR_1",1
"1476","greA_1",1
"1478","groL_1",1
"1479","groL_4",1
"1485","group_10006",1
"1500","group_10021",1
"1501","group_10022",1
"1502","group_10023",1
"1503","group_10024",1
"1505","group_10026",1
"1506","group_10027",1
"1508","group_10029",1
"1509","group_1003",1
"1510","group_10030",1
"1511","group_10031",1
"1512","group_10032",1
"1513","group_10033",1
"1514","group_10034",1
"1515","group_10035",1
"1516","group_10036",1
"1518","group_10038",1
"1519","group_10039",1
"1521","group_10040",1
"1522","group_10041",1
"1527","group_10046",1
"1530","group_1005",1
"1534","group_10054",1
"1535","group_10055",1
"1550","group_1007",1
"1563","group_10083",1
"1564","group_10084",1
"1565","group_10085",1
"1566","group_10086",1
"1567","group_10087",1
"1569","group_10089",1
"1570","group_1009",1
"1571","group_10090",1
"1572","group_10091",1
"1573","group_10092",1
"1574","group_10093",1
"1575","group_10094",1
"1576","group_10095",1
"1577","group_10096",1
"1578","group_10097",1
"1579","group_10098",1
"1580","group_10099",1
"1581","group_101",1
"1582","group_10100",1
"1584","group_10102",1
"1585","group_10103",1
"1586","group_10104",1
"1588","group_10106",1
"1589","group_10107",1
"1590","group_10108",1
"1591","group_10109",1
"1602","group_10119",1
"1606","group_10122",1
"1607","group_10123",1
"1608","group_10124",1
"1609","group_10125",1
"1610","group_10126",1
"1611","group_10127",1
"1612","group_10128",1
"1613","group_10129",1
"1614","group_10130",1
"1615","group_10131",1
"1616","group_10132",1
"1617","group_10133",1
"1618","group_10134",1
"1619","group_10135",1
"1630","group_10145",1
"1631","group_10146",1
"1639","group_10154",1
"1642","group_10158",1
"1644","group_1016",1
"1645","group_10160",1
"1646","group_10161",1
"1647","group_10162",1
"1651","group_10166",1
"1653","group_10168",1
"1666","group_10182",1
"1673","group_1019",1
"1691","group_1021",1
"1701","group_1022",1
"1706","group_10225",1
"1707","group_10226",1
"1708","group_10227",1
"1709","group_10228",1
"1710","group_10229",1
"1711","group_10230",1
"1713","group_10232",1
"1721","group_1024",1
"1726","group_10244",1
"1727","group_10245",1
"1728","group_10246",1
"1729","group_10247",1
"1736","group_10253",1
"1737","group_10254",1
"1739","group_10256",1
"1740","group_10257",1
"1742","group_10259",1
"1743","group_10260",1
"1744","group_10261",1
"1745","group_10262",1
"1746","group_10263",1
"1747","group_10264",1
"1748","group_10265",1
"1749","group_10266",1
"1750","group_10267",1
"1751","group_10268",1
"1752","group_10269",1
"1753","group_10270",1
"1754","group_10271",1
"1755","group_10272",1
"1756","group_10273",1
"1759","group_10276",1
"1760","group_10277",1
"1763","group_10280",1
"1764","group_10281",1
"1765","group_10282",1
"1766","group_10283",1
"1767","group_10284",1
"1768","group_10285",1
"1769","group_10286",1
"1773","group_1029",1
"1774","group_10291",1
"1776","group_10294",1
"1786","group_10305",1
"1797","group_10316",1
"1800","group_10319",1
"1801","group_1032",1
"1802","group_10320",1
"1803","group_10322",1
"1804","group_10323",1
"1805","group_10327",1
"1806","group_10328",1
"1807","group_10329",1
"1809","group_10330",1
