"","genes_core"
"1","aaeA"
"2","abh_1"
"3","abh_2"
"4","accA_2"
"5","accB"
"6","accC_1"
"7","accC_2"
"8","accD5"
"9","acoA_1"
"10","acoA_2"
"11","acpA"
"12","acpS"
"13","acuA"
"14","acyP"
"15","adeC"
"16","adh2_1"
"17","adhA"
"18","adhR"
"19","ahpC"
"20","ald"
"21","alkA"
"22","alr"
"23","alsD"
"24","alsT_2"
"25","amaA"
"26","amiE"
"27","amiF"
"28","ansA"
"29","ansZ"
"30","apc3"
"31","appA"
"32","aprX"
"33","apt"
"34","araD"
"35","araQ_1"
"36","araQ_2"
"37","araR"
"38","arcD"
"39","argD"
"40","argF"
"41","argH"
"42","argP"
"43","argR"
"44","argS"
"45","arnB"
"46","aroA"
"47","aroA1"
"48","aroB"
"49","aroC"
"50","aroD"
"51","aroE_2"
"52","aroH"
"53","arsB"
"54","artM"
"55","artP"
"56","artQ_1"
"57","ask"
"58","asnB"
"59","asnC"
"60","asnS"
"61","aspS"
"62","atpA"
"63","atpB"
"64","atpC"
"65","atpD"
"66","atpF"
"67","atpG"
"68","atpH_1"
"69","azoR2"
"70","bacF_1"
"71","bcd"
"72","bcp_2"
"73","bcrA"
"74","bcrC_2"
"75","bepA"
"76","betI"
"77","bfmBAA"
"78","bfmBAB_1"
"79","bfmBAB_2"
"80","bg1"
"81","bglC"
"82","bglK"
"83","bioY_2"
"84","birA_1"
"85","bm3R1"
"86","bmrU"
"87","bofA"
"88","bofC"
"89","brnQ_2"
"90","bshB1"
"91","bshC"
"92","bslA"
"93","bsn"
"94","btuD_1"
"95","btuF"
"96","buk2"
"97","capA"
"98","capB"
"99","capC"
"100","carA_1"
"101","carA_2"
"102","carD"
"103","cca"
"104","cccB"
"105","ccpA_3"
"106","ccpB"
"107","ccpN"
"108","ccs1"
"109","ccsA_2"
"110","cdaR_1"
"111","cdaS"
"112","cheB_1"
"113","cheB_3"
"114","cheC"
"115","cheD"
"116","cheW_1"
"117","cheW_2"
"118","cheY"
"119","chrA1"
"120","cidB"
"121","cimH"
"122","citN_1"
"123","citT"
"124","clpE"
"125","clpY"
"126","clsB"
"127","cmk"
"128","cmoM"
"129","cmpR"
"130","coaD"
"131","coaE"
"132","coaX"
"133","cobB"
"134","codY"
"135","comA"
"136","comEA"
"137","comEC"
"138","comFB"
"139","comN"
"140","copA"
"141","copZ"
"142","COQ3_2"
"143","COQ5_1"
"144","cotA"
"145","cotM"
"146","cotX"
"147","cotY"
"148","cotZ"
"149","coxA"
"150","cpdA"
"151","crcB_2"
"152","crh"
"153","crr"
"154","crt"
"155","crtNb"
"156","crtNc"
"157","crtQ"
"158","csbA"
"159","csfB"
"160","csh"
"161","cshB"
"162","csoR"
"163","cspB"
"164","cspC"
"165","cspD"
"166","csrA"
"167","cssR"
"168","cssS"
"169","cstA"
"170","ctaA"
"171","ctaB2"
"172","ctaC"
"173","ctaD"
"174","ctpB"
"175","cvfB"
"176","cwlJ"
"177","cycA"
"178","cycB"
"179","cymR"
"180","cynR_2"
"181","cysA"
"182","cysC"
"183","cysK_1"
"184","cysK_2"
"185","cysT"
"186","dagK"
"187","dapA_1"
"188","dapB"
"189","dapH_1"
"190","dapH_2"
"191","dapX_1"
"192","dapX_2"
"193","darA"
"194","dat_1"
"195","dat_2"
"196","dauR"
"197","dbpA_1"
"198","dbpA_3"
"199","dck"
"200","dcuR_2"
"201","dcuS_2"
"202","ddc"
"203","ddl"
"204","def1"
"205","defB"
"206","degA"
"207","degQ"
"208","degR"
"209","degS"
"210","degS_1"
"211","degV"
"212","deoC"
"213","der_1"
"214","des"
"215","desR"
"216","dfrA"
"217","dgk"
"218","dgkA"
"219","dgoT"
"220","dhaA"
